,fgs_fsp_res_dmxl
0,"[112.89167203987668, -104.5043324216411, 29.26139037955086]"
1,"[103.34794345001625, -106.89671257119562, 42.03826055579795]"
2,"[92.04409963040814, -85.64280052425443, 24.498834896081718]"
3,"[88.43542577957271, -87.4415148072726, 38.53519067211566]"
4,"[80.44952623670493, -69.43156265901672, 20.342420815148643]"
5,"[81.95775091569854, -72.23191685851674, 34.90747273232254]"
6,"[72.39433070772411, -54.92972269618588, 17.593489139812643]"
7,"[72.37794579025527, -56.90427992661199, 32.22997327105153]"
8,"[67.08174304782305, -37.948486446100816, 15.140384833758661]"
9,"[60.43919982270499, -42.672728424364124, 29.557931684306915]"
10,"[55.814798585581244, -26.292436169217353, 12.748342284248986]"
11,"[54.927295461806644, -19.35905383515552, 14.150727443746]"
12,"[50.210747442553924, -27.57383715845009, 23.826823854918892]"
13,"[49.97350975482453, -8.096988478545768, 12.561263180378928]"
14,"[46.708765725954805, -15.579016763199945, 21.586732815617673]"
15,"[38.85266953475098, -0.6897621156547871, 11.309408028959766]"
16,"[-671.2110424977366, -9.997590845323117, 17.400457120481477]"
17,"[180.75188563216818, -1.5845039840089612, 12.18877644129762]"
18,"[69.4100976220435, 16.589821598937363, 2.990363019966116]"
19,"[20.211820610333135, 5.0296099699152705, 11.082653558533682]"
20,"[12.49870801195545, 20.330281218046196, 0.07966351944695305]"
21,"[14.05836156029978, 13.312594147115362, 7.990838438652062]"
22,"[7.525612571225125, 24.357591599425433, -0.040513175469376606]"
23,"[10.615673323748691, 16.9768273014341, 7.045610516396245]"
24,"[3.359849119660936, 28.51825036103037, -4.001800380644008]"
25,"[5.96872175887551, 20.529966591993116, 3.7690814755205793]"
26,"[-1.2824407913701918, 29.949149037995994, -4.172179185263108]"
27,"[0.8491569832781742, 22.071851651236557, 1.340778770643201]"
28,"[-6.768781499795669, 33.860465188489684, -8.388346109308298]"
29,"[-0.4878111323517267, 25.552384805414277, -1.0412332402483422]"
30,"[-8.18763925588356, 36.86558966684626, -9.161489032690074]"
31,"[-6.742596403045232, 28.565693343101714, -3.8068633426029166]"
32,"[-10.794789484874784, 38.53864146509707, -11.928806875502332]"
33,"[-7.097553166257882, 30.743369390392957, -4.870894401584106]"
34,"[-15.208076660084942, 36.27411167593655, -12.466669530878065]"
35,"[-12.570349291929757, 30.211058811724314, -7.3838290066799885]"
36,"[-15.928289390221964, 39.08504809568731, -14.191888240668062]"
37,"[-17.97471491659912, 38.97041430469082, -13.023539949996165]"
38,"[-20.59875860541227, 33.2653078720121, -12.057918649830322]"
39,"[-23.946466380983377, 37.475008368779754, -16.10848043670302]"
40,"[-21.27764805123381, 32.14542376511537, -14.106951486058088]"
41,"[-26.244093563779707, 39.55511032783974, -18.318714564795663]"
42,"[-25.912573009972448, 32.447344877074954, -15.295655434902045]"
43,"[-27.511023785207183, 38.433947903157446, -18.145552405124576]"
44,"[-28.741073555852225, 33.10276163122316, -17.285251594779226]"
45,"[-30.845256529170936, 37.57621281156122, -19.618257300313665]"
46,"[-29.015180633161513, 32.22116914961998, -17.44879922699561]"
47,"[-33.4890136689998, 35.95567973090405, -20.551734102053402]"
48,"[-33.02793171813155, 31.121217881827903, -20.220237091698557]"
49,"[-38.114627435530984, 35.07289883835085, -21.001074058239645]"
50,"[-44.54739960607605, 34.90300861663604, -22.097574712475502]"
51,"[-38.383755835131836, 29.571294927555925, -21.913975958283743]"
52,"[-38.2377930959967, 32.43728536489175, -22.422599809886805]"
53,"[-37.01075217764366, 28.05726851614105, -23.67905871586998]"
54,"[-41.22650627876964, 31.494104096474246, -23.51134624137603]"
55,"[-37.19201398953919, 28.469661398657195, -25.159278416106176]"
56,"[-39.8918915256607, 28.322084944925905, -22.72362740246944]"
57,"[-38.36614226902793, 27.697047545659984, -23.79608262823303]"
58,"[-38.837089570697835, 30.440149348237583, -20.624028094119428]"
59,"[-38.19435112057753, 25.629320372391305, -22.314243794263753]"
60,"[-91.47257828493227, 24.13834455693535, -19.02426562227992]"
61,"[184.07198825443692, 20.215474800781465, -13.345455843396726]"
62,"[-90.9950577967908, 20.90711518668803, -15.13091738380635]"
63,"[-41.465825248298835, 19.25349721212791, -13.984756489331502]"
64,"[-41.06744296285956, 14.323374556911347, -18.234539370316067]"
65,"[-41.29538622157608, 11.184875638996687, -13.931477556377512]"
66,"[-43.93344335389719, 14.272923431960407, -17.98792402289314]"
67,"[-40.27099673186294, 11.323853914240317, -9.81756428175589]"
68,"[-41.728570018392574, 9.260075655191486, -15.036959723173867]"
69,"[-40.83317424001968, 6.064040816916474, -1.3541040711050645]"
70,"[-38.645982298593, 5.6554136084781135, -0.20543234081756623]"
